Area,BHK,Bathroom,Furnishing,Region,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1175,3,3,Unfurnished,Chhattarpur,"JVTS Gardens, Chhattarpur",4,5000000,Almost_ready,New_Property,Builder_Floor,
1305,4,3,Unfurnished,Chhattarpur,"JVTS Gardens, Chhattarpur",1,5500000,Almost_ready,New_Property,Builder_Floor,
1000,3,2,Furnished,Dishad Garden,"DDA Flats Block A, Dilshad Garden",1,9200000,Ready_to_move,Resale,Apartment,9200
1700,3,2,Furnished,Dishad Garden,"DDA Flats Block A, Dilshad Garden",1,17000000,Ready_to_move,Resale,Apartment,9200
1600,3,2,Semi-Furnished,Dishad Garden,"DDA Flats Block A, Dilshad Garden",1,17000000,Ready_to_move,Resale,Apartment,10625
350,1,1,Unfurnished,Dishad Garden,"DDA Flats Pocket O, Dilshad Garden",1,3000000,Ready_to_move,Resale,Apartment,9375
350,1,1,Unfurnished,Dishad Garden,"DDA Pocket E, Dilshad Garden",1,4200000,Ready_to_move,Resale,Apartment,12000
1000,3,3,Furnished,Dishad Garden,"DDA Pocket I, Dilshad Garden",1,9500000,Ready_to_move,Resale,Apartment,9500
750,2,1,Semi-Furnished,Dishad Garden,"DDA Pocket JK, Dilshad Garden",2,6500000,Ready_to_move,New_Property,Apartment,8640
1076.39,3,2,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",10,9300000,Ready_to_move,Resale,Builder_Floor,8640
900,2,2,Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",2,6900000,Ready_to_move,Resale,Builder_Floor,7666
900,3,2,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",2,13500000,Ready_to_move,Resale,Apartment,7666
370,1,1,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",2,2400000,Ready_to_move,Resale,Builder_Floor,6486
460,2,1,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",2,3300000,Ready_to_move,Resale,Builder_Floor,8640
1800,3,3,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,15000000,Ready_to_move,New_Property,Builder_Floor,8333
1000,2,2,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,6700000,Ready_to_move,Resale,Apartment,6700
800,2,2,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,6000000,Ready_to_move,Resale,Builder_Floor,7500
800,2,2,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,7500000,Ready_to_move,Resale,Apartment,9375
900,3,2,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,4800000,Ready_to_move,Resale,Apartment,12000
650,2,2,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,6500000,Ready_to_move,Resale,Builder_Floor,
500,1,1,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,2600000,Ready_to_move,Resale,Builder_Floor,5200
400,1,1,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,3600000,Ready_to_move,Resale,Builder_Floor,7666
405,1,1,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,2500000,Ready_to_move,Resale,Apartment,9200
400,1,1,Semi-Furnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",1,3500000,Ready_to_move,Resale,Apartment,
450,1,1,Unfurnished,Dishad Garden,"Dilshad Colony, Dilshad Garden",,3300000,Ready_to_move,Resale,Apartment,
1450,2,2,Unfurnished,Dishad Garden,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,5200
800,3,2,Semi-Furnished,Dishad Garden,Dilshad Garden,1,9030000,Ready_to_move,Resale,Apartment,9200
1080,3,1,Unfurnished,Dishad Garden,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,8333
430.556,1,1,Unfurnished,Dishad Garden,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9375
500,2,1,Furnished,Dishad Garden,Dilshad Garden,1,5800000,Ready_to_move,Resale,Apartment,12000
1500,4,1,Unfurnished,Dishad Garden,"Dilshad Garden carpet area 1500 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Unfurnished bathroom 1 balcony 2 Mig dda flat located at a very prime location near to market, school, hospital, metro station etc. Contact Owner View Phone No. Share Feedback Owner R",,12500000,Ready_to_move,Resale,Apartment,
750,2,1,Unfurnished,Dishad Garden,"Guru Teg Bahadur Enclave, Dilshad Garden",,7350000,Ready_to_move,Resale,Apartment,
1700,3,3,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,17200000,Ready_to_move,Resale,Apartment,
1550,3,2,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,13200000,Ready_to_move,Resale,Apartment,
1470,3,2,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,14500000,Ready_to_move,Resale,Apartment,
1500,3,2,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,14900000,Ready_to_move,Resale,Apartment,
1850,3,2,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,15500000,Ready_to_move,Resale,Apartment,
1380,3,2,Semi-Furnished,Dwarka,"Aashirwaad Chowk, Dwarka",1,15000000,Ready_to_move,Resale,Apartment,
540,2,2,Semi-Furnished,Dwarka,"Adarsh Homes, Dwarka Mor",1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,"Adarsh Homes, Dwarka Mor",1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,"Adarsh Homes, Dwarka Mor",1,3000000,Ready_to_move,New_Property,Apartment,5000
1600,3,3,Semi-Furnished,Dwarka,"Ashirwad Apartments, Dwarka",1,15600000,Ready_to_move,Resale,Apartment,3524
1600,3,3,Semi-Furnished,Dwarka,"Ashirwad Apartments, Dwarka",1,15600000,Ready_to_move,Resale,Apartment,
1200,3,3,Semi-Furnished,Dwarka,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,3524
1200,3,3,Semi-Furnished,Dwarka,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,24718
1200,3,3,Semi-Furnished,Dwarka,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,24718
1560,3,2,Furnished,Dwarka,"Ashoka Apartments, Dwarka Sector 12",2,15800000,Ready_to_move,Resale,Apartment,3524
1800,4,3,Furnished,Dwarka,"Ashoka Enclave Apartment, Dwarka Sector 11",1,19200000,Ready_to_move,Resale,Apartment,3524
1500,3,3,Semi-Furnished,Dwarka,"Bank Apartments, Aashirwaad Chowk, Dwarka",1,14000000,Ready_to_move,Resale,Apartment,
1600,3,2,Semi-Furnished,Dwarka,"Bank Apartments, Aashirwaad Chowk, Dwarka",1,15800000,Ready_to_move,Resale,Apartment,
1480,3,2,Furnished,Dwarka,"Bank Apartments, Aashirwaad Chowk, Dwarka",1,15800000,Ready_to_move,Resale,Apartment,
1550,3,2,Semi-Furnished,Dwarka,"Bank Apartments, Aashirwaad Chowk, Dwarka carpet area 1550 sqft status Ready to Move floor 7 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road society Bank Apartments car parking 1 Covered, 1 Open bathroom 2 balcony 3 ownership Freehold A spacious 3 Bedroom flat is available for sale in Dwarka , New Delhi.it is cornor building plenty of sunlight and airy. It is located on the 2 Floor. It has a covered area of 1500 Sq-ft. The flat has vitrified tiles & Mosiac flooring. The flat has 24 Hours Available water supply and No/Rare Powercut.. The property is fantastically located and is much sought-after. The property is available at a very competitive Price. read more Contact Agent View Phone No. Share Feedback Sikka Realtors Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users CRISIL Rating No of employees 12 Sikka Realtors Certified Agent Locality Superstar Aashirwaad Chowk, Dwarka 2500+ Buyers Served",1,15800000,Ready_to_move,Resale,Apartment,
1400,3,2,Furnished,Dwarka,"Chanakya Apartments, Aashirwaad Chowk, Dwarka",1,15000000,Ready_to_move,Resale,Apartment,
2160,4,3,Unfurnished,Dwarka,"Chander Lok Apartment, Dwarka Sector 19",1,21000000,Ready_to_move,Resale,Apartment,3524
1400,3,3,Semi-Furnished,Dwarka,"Chopra Apartment, Dwarka Sector 23",1,13500000,Ready_to_move,Resale,Apartment,3524
1525,3,3,Semi-Furnished,Dwarka,"Chopra Apartment, Dwarka Sector 23",1,14200000,Ready_to_move,Resale,Apartment,3524
1620,3,2,Semi-Furnished,Dwarka,"Crescent Apartments, Dwarka Sector 18",1,14900000,Ready_to_move,Resale,Apartment,3524
750,1,1,Furnished,Dwarka,"DDA Flats Sector 14, Dwarka Sector 14",2,4600000,Ready_to_move,Resale,Apartment,
1214,2,2,Furnished,Dwarka,"Defence Officers Apartment, Aashirwaad Chowk, Dwarka",1,12600000,Ready_to_move,Resale,Apartment,
1387,4,4,Unfurnished,Dwarka,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,4247
1387,4,4,Unfurnished,Dwarka,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,4247
1387,4,4,Unfurnished,Dwarka,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,4247
1850,3,4,Semi-Furnished,Dwarka,Dwarka,1,24000000,Ready_to_move,Resale,Apartment,3524
450,2,2,Unfurnished,Dwarka,Dwarka Mor,1,2900000,Ready_to_move,Resale,Builder_Floor,5794
765,3,2,Semi-Furnished,Dwarka,Dwarka Mor,1,3800000,Ready_to_move,Resale,Builder_Floor,5794
500,2,2,Semi-Furnished,Dwarka,Dwarka Mor,1,3200000,Ready_to_move,New_Property,Builder_Floor,6111
680,3,2,Semi-Furnished,Dwarka,Dwarka Mor,1,3400000,Ready_to_move,New_Property,Builder_Floor,6111
1150,3,2,Semi-Furnished,Dwarka,Dwarka Sector 16B,1,6800000,Ready_to_move,New_Property,Builder_Floor,3524
400,1,1,Semi-Furnished,Dwarka,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1,1850000,Ready_to_move,New_Property,Builder_Floor,3524
1800,3,2,Semi-Furnished,Dwarka,Dwarka Sector 4,1,14800000,Ready_to_move,Resale,Apartment,3524
1900,3,3,Furnished,Dwarka,"Gold Croft Apartment, Aashirwaad Chowk, Dwarka",1,25000000,Ready_to_move,Resale,Apartment,
1750,3,3,Furnished,Dwarka,"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1,17200000,Ready_to_move,Resale,Apartment,
1700,3,2,Furnished,Dwarka,"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1,16500000,Ready_to_move,Resale,Apartment,10700
1650,3,3,Furnished,Dwarka,"Hum Sub Apartment, Aashirwaad Chowk, Dwarka",1,18000000,Ready_to_move,Resale,Apartment,
1400,3,2,Unfurnished,Dwarka,"Indraprastha Apartment, Dwarka Sector 12",1,11400000,Ready_to_move,Resale,Apartment,3524
1000,2,2,Semi-Furnished,Dwarka,"Kailash Apartments, Aashirwaad Chowk, Dwarka",1,10700000,Ready_to_move,Resale,Apartment,10700
1500,3,3,Semi-Furnished,Dwarka,"Karuna Vihar Apartment, Dwarka",2,16000000,Ready_to_move,Resale,Apartment,3524
1500,3,2,Unfurnished,Dwarka,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,3524
1500,3,2,Unfurnished,Dwarka,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,22222
1500,3,2,Unfurnished,Dwarka,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,22222
1050,2,2,Unfurnished,Dwarka,"LNT Apartments, Dwarka",1,10500000,Ready_to_move,Resale,Apartment,3524
1800,4,2,Semi-Furnished,Dwarka,"MeeraBai Apartment, Dwarka Sector 5",1,16500000,Ready_to_move,Resale,Apartment,3524
1001,3,2,Furnished,Dwarka,"Mitya Homes, Dwarka Mor",1,5800000,Ready_to_move,New_Property,Builder_Floor,5794
2000,4,3,Furnished,Dwarka,"Mohinder Apartments, Aashirwaad Chowk, Dwarka",1,31500000,Ready_to_move,Resale,Apartment,
2300,4,4,Furnished,Dwarka,"Mohinder Apartments, Dwarka",1,31500000,Ready_to_move,Resale,Apartment,3524
1900,4,4,Semi-Furnished,Dwarka,"Mohinder Apartments, Dwarka Sector 12",1,30000000,Ready_to_move,Resale,Apartment,3524
1350,3,2,Unfurnished,Dwarka,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,3800
1350,3,2,Unfurnished,Dwarka,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,3800
1350,3,2,Unfurnished,Dwarka,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,3800
700,2,1,Semi-Furnished,Dwarka,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,2400000,Almost_ready,New_Property,Apartment,3524
1540,3,3,Semi-Furnished,Dwarka,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,3524
